Negative Sentiment,Ratings
"Chief Daddy 2: A Movie To Avoid
I dragged myself to see Chief Daddy 2 and I must confess that's the worst way to start a new year. The movie is a total waste of time and if you're yet to see it, PLEASE DON'T. The industry needs to tender an apology to the viewers.",1
"Absolutely horrendous
Storyline is absolutely the worst, could not bring myself to watch till the end. Just packed many stars. How can I be 1hr into a comedy drama without laughing? Disappointed.",1
Chief Daddy 2 Disastrously Fails to Deliver Quality,1
"DONT
It's really awful. I feel embarrassed for all the actors/actresses. I watched it cos I was curious about the bad reviews. But wow. I'm not watching any Ebonylife movie going forward. Clearly, someone doesn't have their head screwed on in there.",1
"What a waste of time

Mediocre at best. A mix of too many famous (famous not meaning good) actors and a script that has so many holes it might as well be a sieve. Need 2 hours worth of proof that Nollywood is mostly just transactional at the cost of actual art? Watch this.",1
"First disaster recorded in 2022

A painstaking experience is the movie suggests that the entire cast and crew aim was to achieve the first disaster in 2022. A Netflix release date of 1st of January 2022 further suggests that was the sole intention. The acting was bad, the soundtrack were repetitive, the storyline was... (if there was one I would have described it here). The worst part, there could be a Chief Daddy 3.",1
"Rubbish

One more piece of garbage from NETFLIX. Period !!

I am saying what it is .. Nothing more.",1
Boring and weak plot.,1
"What the hell is going on here
The movie is so bad at some point you wonder whether you're watching a comedy or a drama movie. It has zero essence, zero script, and zero interest. I guess all the 10/10 comments are paid but I did watch this on Netflix and I leave this review in case someone decides to skip the movie and get some more life time.",1
"Waste of time

I've never written a review for IMDb. I use it all the time to gauge movies and seeing the above reviews touting this film to be the best movie ever?? Huh?? Makes me seriously question the validity of ALLIMDb scores!! I kept waiting for something to happen in this moviè. Something to interest me or hook me...nothing what a Snoozefest!!",1
"Does not live up to Production Value

This movie was a movie that had great potential. A directorial debut of the Famous Nigerian Genevieve, packed with star studded Nigerian Names from Phyno, to Pete edochie. It also Had really fantastic production value, however that's as far as positives go.

One thing that a good movie needs above all else is ""story"". the story usually sets actors up for fantastic pe formances, can usually be the thing to sell a movie. However, this failed to be anything other than boring. It had no logical flow. It was trying to do a lot of things, like develop a love interest for Genevieve, set her up as a hardworking female, however it offers nothing in terms of bringing that to life. There should have been more connections to the characters, like what does Lionheart mean ?? Who exactly are these characters. It feels very empty and quickly put together.

Building on from that, another thing that makes movie so terrible is, because the story is terrible the actors cannot live up to their potential. They're stuck in a bad story, so there's nothing to immerse themselves in.

The film also has terrible writing which also contributes to the actor's terrible performances. I don't know who wrote this but it was really off the mark for writing. Some of the dialogue was so superficial and empty. They threw in some inspirational words here and there to try and do soemthing but it had no effect because they hadn't prepared for it properly. There was also a serious lack of research witht the writing. When you borrow 950 million naira,which is basically 2.6 million dollars, no company takes that kind of loan and pays back fully in a year. People pay interests on that loan, so that really messed up the story and writing. Also was the evil coworker a board member ?? What was he doing at those meetings ?? And how can a company which has a board be unaware of a 2.6 million dollar loan. It's jsust not possible, that's not how business works. It feels as if real life was bent to fit the terrible narrative this movie was trying to tell.

The only positive of this movie is production value. The cinematography is average holly wood standard, although it falters a lot. It's evident of a quite low budget Hollywood movie. It's netflix quality, let me put it that way in terms of original content. However, it still needs to improve. I think Genevieve needs to go on a masters in directing from a good film school to understand how to properly direct, it is really important she does that.

In conclusion, this was a movie that could have been groundbreaking in terms of Nigeria's first original Netflix content. However m perhaps shockingly, seeing as it was bought by Netflix, it was absolutely poor. And writing, bad story, bad acting. I can only congratulate the production value of this.",1
"Terrible Movie... worst Nigerian movie I've seen

Movie is so bad I had to create an account just to write this and let others know",1
"Very disappointing adaptation of great novel

Half of a Yellow Sun is a fantastic novel, so any adaptation was going to be very difficult. Adapting a great book should be approached with care and most successful adaptations have focused on one or two key events or characters rather than try to retell the whole story. In this case, the adaptation attempted to tell the whole story and, subsequently, manages to avoid any depth as it simply skims along the surface in order to get the end. Often, scenes which serve no point other than to relay a piece of background information continually appear and it is shocking that such experienced film makers failed to guide the writer/director away from such obvious pitfalls. In order to accommodate as many details as possible from the novel, many superfluous scenes lead only to confusion and rely on the audience either having read the novel or having in-depth knowledge of Nigeria's history. Some characters appear only to serve as expositional devices. This film has one or two excellent performances DESPITE the material but generally the actors appear to be at a loss as to what to do. This is the director's first movie and it could that he wasn't comfortable with the pressures of time and of shooting out of sequence. 

It is sad to be so 'down' on a movie that has its heart in the right place, and one can only imagine that Chimamanda Ngozi Adichie must rue the day that she allowed her beautiful work to be adapted by someone who had little or no grasp of the screen writing process that could have turned out a great film script.",1
"One of the worst

With the hype I would expect a great movie but this is one of the worst movies I've seen in a while. Great actors and good cast but the storyline and unnecessary scene create attention. I'm surprise some people actually find this movie fun because I couldn't really associate fun with this movie. The movie is quite boring , no anxiety and nothing to keep you on your feet or have you guessing . Really disappointed meanwhile I saw king of Johannesburg and I was wowed .. Now that's a movie.",1
"Major Disappointment

I was underwhelmed with this sequel. First she kept us on tenterhooks for years promising a movie, she then made a TV series and sold out to Netflix. I spent 7 hours watching this much hyped much anticipated sequel to take off, alas it didn't.",1
"REALLY STAINS NOLLYWOOD

This film is ridiculous with no plot motivation or character development. The end scene is unwatchable and awkward. These dancers can't dance to save their life. The main love story dies follow Nollywood troupes, but non of it usual substance. Hopefully the actors will recover from this.",1
"That movie is such a bad egg to Nollywood
That movie is wack, No story line, horrible dancing. Just a display of white man in Nollywood. Honestly, the white man acted well just happen to select the wrong movie to appear in.",1
"Do Not Watch!!!

Honestly this is the most useless movie ever I can't believe I watched something like this!!!!😡 Apart from nikita's horrible dancing , the movie didn't even have a real storyline to follow. And after all this amazing actors this is what they had to give??

If I mistakenly see anyone connected to this movie, I'll beat them.

They should be arrested abeg😭😭😭😭😭.",1
"Diabolically bad!

This is realistically the worst movie I've ever seen in my life!

The 'dancers' cannot dance to save their life and this film contains some of the most unattractive people I've ever seen assembled in one place, honestly seriously unattractive!

Now the plot, THERE ISN'T ONE!!!!

It's a garbled gab fest of white noise, gibberish for the sake of it!

Do NOT watch this movie under any circumstances, you've been warned !!!",1
"Too long, bad acting, too much irrelevance

The story it's based on is of course important, but the movie in generale is very disappointing. It's way too long, could have been caught down to 1,5 hour instead of 2,5 hours. Acting was terrible and dialogue was incredible stupid.",1
"Again and again BIAS BIAS

Citation movie in my own opinion is so unrealistic It's meant 4 a life touching incident student face on daily basis but acted with so little dramatic emotion I'm disappointed cos my hope where high d only thing they got right in D movie is just D costume & setup The casting is just so disappointing why must you be bias again to was casting give people who deserve this spot cmon And I respect the director but he has to do better the directing was awful None invoke the character they were meant to play not one But cmon we all know what was going to happen from the beginning of the movie No plot twist with some unrealistic scene (I still don't understand why the legal counsel was there when they did nothing in actual argument) And the movie mad Nigeria student stupid or not bein street wise cmon that disappointing",1
"Waste of time

If I could give it 0 stars I would for 2 reasons - #1 it's not filmed in Jamaica but is filmed in America and #2 super super super corny acting. I am Jamaican and am displeased that this movie even has the Jamaican flag on the cover. Very misleading.",1
"Not worth anyone's time
This movie is a disappointment and not worth anyone's time or money. It would have been an opportunity for Funke Akindele or/and the AY guy, to showcase their talent on world stage but they both failed at it. What a disastrous act and flopped comedy. If I could give less than 1 star, I would.",1
"Waste of time

Wasn't really a clear plot, didn't make sence and just having a Nigerian man cussing a Jamaican cuss word is not Jamaica?? Didn't enjoy it and just a stereotype of Jamaica?? Paul Campbell could have played so much better",1
This was bad in so many ways,1
"Awful and terrible film,

It's the worst film I've ever seen, the acting is so hammy, so crap and just awful, I wouldn't watch it again, I loved the clothes, the music, I've seen much better films than this.",1
"Propaganda and misuse

I have found it my obligation to talk about this topic as I have recently viewed this movie. The issues in todays modern age is racial profiling and racism which is a serious matter. I address this movie to be very misleading and further promotes discrimination by presenting African people uncivilised by having the typical stereotypes of African people in robes and acting like caveman thousands of years ago. It is a neccesity to remove this movie from being accessible to the media as it depicts and reinforces the great issues in today's modern society relating to racism.",1
"DO listen to the negative reviews

The people giving 10 stars to this movie must be getting some kind of royalties or something... , I thought this film would be something like lion but it wasn't, The movie is poorly executed, For me personally I found some of the actors if you can call them actors completely lacking in any acting skills whatsoever you might as well just got someone off the street Such very poor acting so amateur it's amazing they got away with it, when you've got acting that bad it takes away from the movie. Don't waste your time,",1
"Fake News Movie

Another reviewer on here stated they actually knew the author / subject of this movie growing up. You should listen to his review.

For a real review of the Tilbury Skins just use your favourite search engine and look up ""Tilbury Skins BBC Radio 1980"" and you will find a real news report on how 'The Sun' made up a story about how bad the skins were and staged photos and an interview.",1
"Horrible

The show lingers on and on seeming to go no where at times. Beckinsale does this in many of her movies. Underworld she didn't say much and was mostly just action which helps make the boredom factor better. It is no wonder she places such high emphasis on her looks to make up for her below par acting.",1
"Utter fiction
I put a message on here before and for some reason it's been taken down. I grew up in the same town and know the Director/Actor of this movie and it is a complete work of fiction. Apart from being a terrible film it isn't true. The acting is awful and the story unbelievable. I was discussing it with friends recently who went to school with ""Wally"", the name he was known by at school and they were laughing in disbelief. This might be based on a story but it is neither true or based on his life",1
"OMG Cringe

What the actual F. The dialogue, the acting, the soundtrack. How do titles like this make it into production?",1
"Good storyline, poor execution

An odd blend of great actors and amateurs. Couldn't even hear the dialogue because the audio editing was so poor. Unrealistic scenes, such as a mother visiting her dying child at the hospital dressed as if she was going to brunch with friends on the Upper East side. People grieve differently, but come on. Much missed details. I don't know how they got Isaiah Washington and a few others to participate. With attention to detail and coaching, this could have turned out to be a great movie.",1
"The Worst Music Scoring Ever!

Whoever did the music scoring for this movie did a horrible job. It must have been their first time scoring a movie. The music was very excessive...almost every scene which was very unnecessary. It overshadowed the dialogue in the scenes to the point where you cannot hear what the characters are saying. How did the director, producers, editors, etc. Thought it was acceptable for so intrusive music I do not know. Music in a film is supposed to add and enhance the telling of the story of a film and unfortunately the music took away and hindered the film. I could not enjoy due to that reason.",1
"Weak dialogue, amateurish battle scenes.

Seeing this movie was torture, an infliction of pain that permeated my bone marrow - and it is so perhaps because I'm a History graduate who could not help but notice the many goofs in the plot, acting and battle choreography gone bad. The colonial officers didn't sound British. The dialogue was plain, so much on the surface. How many holes were dug to sink this movie? And coming from an ace 'Nollywood' director I root for, I'm disappointed.

Why on God's green earth was there a 1960s transistorized shortwave radio beside someone wearing a white uniform with a modern day Anarchist logo on his shoulder...I could go on and on, and I'm appalled by the many things not gotten right here because this subject was my term paper in my third year and I had an A in this course (blowing my trumpets? No!) - all I'm saying is that the director, who was also the writer and other crew members, could do better. This was meant to be a historical fiction that was meant to expose the thievery of the British colonial administrators (and their callous pilfering of the Great and sophisticated Benin Empire) but it didn't do justice.

Lancelot could have done better even with the limitations.

My verdict: this movie needs a remake! A remake!",1
"Don't waste your time
Did not watch all of this crap. Not even second rate, obviously racially inclined crap from an African nation with no film industry I am aware of, and translated from Afrikaans, does not sound right in English. Even the so-called British colonial uniforms look definitely more Dutch than British and the dialogue is terrible.",1
"My goodness

How bad can a movie be? Probably the worst acting ever in a movie which seems to be made with enough money. Netflix what were you thinking? More viewers in Africa?",1
"Very disappointed

Fighting scenes are like a joke. Effects are horrible cz there are none. A great story ruined by really bad writing and really bad acting. Really disappointed.",1
"So disapppointed.

Some acting moments from main actors (king and Amina), but the supporting actor (Maladi), hard to tell if he is comic relief because his role should be serious. Some really good scenic shots but many that look like a stage. Some of the costumes look like I could make them from my own craft stash and fabric remenants, making me doubt how much they represent the time period. The speaking with accents was labored by almost all actors. The real bummer is this movie could be so good with with the story but this rendition isn't. I would love to see it remade.",1
"Worst ever movie- future cult classic?!

My Indian wife and I managed around 20 minutes before giving up....definitely the most utterly ludicrous film either of us have ever seen. Embarrassed laughter throughout from the first moments. Just dreadful, awful, trash....why on earth was this ever made?! But who knows....maybe this is SO bad that it just might become some kind of cult classic!!",1
"Worst
It is like pig's potty. Time waste. Useless comedy. Unlogical concept.",1
"Where do I begin?

Okay, from the onset, the movie was a disaster. The script is awful, the directing is awful and the actors a so awful. You can use the 2 hours to do something better. Netflix really just be funding any script this days.",1
"Absolute No!

The story is one of the most cliché storylines from late 80s and early 90s nonsensical rom-coms which made absolutely no sense whatsoever. The only fresh content is portrayal of Black community in a better light in Indian movies which unfortunately they have never done so far. Rest is all ""interracial marriage"" and ""family in between romance"" drama. Do a favour to yourself and don't watch it.",1
"There is no zero to add as rating

By far the cheapest production and worst movie I have ever seen.

I will not try to say mistakes This is a childish production elementary school level.",1
"As well-intentioned as it is thoroughly inept, Black November would be a serious contender for year-end worst lists if it weren’t so painfully noble and since",1
"DULL STORYLINE

One of the worst Nigerian movies I have watched in a while. Cliche storyline, poor transition, low budget movie. I was really disappointed. However, I tried to see the movie through in view of a plotwist, but I stopped watching about 15 minutes to the end as I felt my time had been wasted enough. The only positive was the picture quality.",1
"Utter rubbish

It's very rare that I give up on a film - I'm a 'Netflix junkie' and have watched hundreds and hundreds of movies over the past few years. I'm generally quite tolerant of dodgy special effects or bad acting or a plot so thin it becomes meaningless. I could probably count on my fingers the number of films I have abandoned, but sometimes you just have to draw the line and I couldn't finish this, gave up after 30mins. Don't waste your time.",1
"Was going to rate it a 7 but....

With a abrubt ending it destroyed the whole movie. Maybe the money were used up, i don't know. Could have been so good but nooo!!",1
"Sorry, very poor in all aspects

Lots of people have been bigging up this Nigerian movie on social media so I decided to give it a go and watch it recently. What a terrible waste of almost 2hrs of my life. Where do I start the review from? Acting? Poor. Storyline? Probably passable. Sequence of events? Terrible. Script? Laughable. Ending? I don't know if that is Nollywood's idea of a cliffhanger ending, one without a story conclusion. Making us look forward to ""Part 2""? God forbid. I thought quality of movies being churned out in Nollywood has gone up but this just confirms that there is a very long way to go.",1
Highly flawed,1
Very disappointing,1
I hate it,1
I could not sit still to watch this movie because it was absolutely trash,1
I cant believe I spent 2 hours watching this movie,1
waste of time and resources,1
what the hell is this that I watched,1
DO NOT WATCH THIS MOVIE,1
"snooze fest, not much story, ridiculous soundtracks

The movie has only one boring story, forcibly stretched to.2 hours of run time, which could really have been 30 min. There is no single scene that is interesting in the movie. It is terribly boring that you will struggle to keep awake. The soundtracks do not match the scenes. The movie is full of random soundtracks. I can't believe the high ratings. I wanted to give 0 star if I could. I feel extremely generous to give 1 star.",1
not recommended. With zero originality and even less authenticity. 'Before Valentine' is nollywood's verion of 'the Barbershop' and it stinks,1
"Huh?

Just what were they thinking with this ""movie"". It is probably one of the worst things I have seen in decades, fragmented storyline, completely ridiculous premise and the acting is some of the most painful I've seen. ""power of 1"" gets a 1 rating, ONLY because IMDB does not have a zero rating or -1. Also that finger in the air symbol is a gang sing for a handgun, nice image to put on a movie poster. Don't waste your time with this.",1
"Worst remake

How could they get it so wrong? Despite all the technical innovations that weren't available to Amaka Igwe in 1995, she was still able to create a classic. Noah somehow managed to detribalize a well known classic ethnic movie that had enthralled its audience with its language and culture. The actors were sub par at best. There was poor directing at the beginning during Ahannas flashbacks when he witnessed a man being set ablaze. The man who was set on fire didn't act realistically,he remained really calm despite being on fire. This was one of many directing mistakes that could be identified in the movie.",1
watching this movie is as bad as eating spoilt beans,1
"Terrible and amateur attempt at a film

I don't understand the praise for this but it must be friends and relatives of the people that made the movie . Seems like someone's school project more than a real film . Terrible acting and production value .",1
Extremely terrible,1
"Good little movie, not great, but good :)

Some powerful performances by the Nollywood actors. Danny Glover offers penetrating rays of sunlight to all his scenes (as you would expect).

Got some beat and base but goes dry now and then, however neat film. Pass the evening well with this melodrama and a bag of popcorn.

BAD WIG RATING - a clear 10/10 for bad wigs. No shame in this area. Hardly a realistic head of hair on display.",1
The acting is bad,1
very bad movie,1
"Horribly Booring

Wasted 2h20min of my life watching this baseless, senseless movie.

Its seriously bad!!!!",1
Boring,1
You will hate it,1
You should not watch this movie,1
I dislike this movie so much,1
"Dreadful

I am baffled that Netflix would subject its audience to this kind of low budget rubbish.

The script is boring and without substance, the main theme of the movie doesn't start until the last 20 minutes of the film. The main theme, i.e. the crash and events leading up to it, were rushed and offered no details on how the crew handled the issue - I certainly hope that the Dana crew were a little more proactive than these two. The pilot uniforms looked like they were made by a toddler, the epaulets looked were yellow tape glued on top of black tape - really?, the director couldn't be bothered to borrow some epaulets or even a uniform from a line pilot. The whole thing is amateurish. Any High School film student or Youtuber would make a better film than this abhorrent junk.",1
"Soap opera

This is a bad soap opera pretending to be an air flight disaster thriller. Don't waste your time.",1
"confused

Was this what a good movie looked like in Africa in 2012? If so then ... it was great! I have to wonder (in that case) if it's gotten any better in 2021? Guess I've been so spoiled with American crappy movies that my expectations have been skewed. Perhaps the two cultures are permanently unique.",1
"Amateurish Production

Started to watch this but it was so disjointed, jumping all over the place that I stopped after 20 minutes. I'm sure there's a story in there somewhere, but it comes across as rubbish due to a bad script, and terrible editing! Please leave series like this on the rubbish heap!",1
Why waste so much money in producing a dull movie like this one.,1
This movie is a no from me,1
A very boring film with poor acting,1
Extremely flawed,1
"Oh Dear!

I honestly do try and see the best in films and hate to give anything a bad review.

When I saw Deranged come up in my Netflix coming soon list, I immediately added it to my viewing list for when it was to be released. Obviously the title and brief synopsis drew me to wanting to watch it.

Within the first 5 minutes I knew what I was in for.

What a mess. I understand they were probably doing the best with what they had, but I really can not find anything redeeming to say about this film.

Like I said, I hate to give blatant bad reviews, as I know the work that goes into making a film.

Maybe you might enjoy it, I'm not saying don't watch it. But we've seen the whole fatal affair thing so many times and Deranged brings nothing new to the table.",1
"Oh geezzzzzz

What did I just watch for almost 30 mins? I tried and tried and tried to give it time but it was just awful! If you can even understand what they are saying it would probably be even worse! How did ANYONE think this movie was worth production??",1
the worst movie production ever,1
This movie is bullshit,1
"Waste of time

If I could give it 0 stars I would for 2 reasons - #1 it's not filmed in Jamaica but is filmed in America and #2 super super super corny acting. I am Jamaican and am displeased that this movie even has the Jamaican flag on the cover. Very misleading.",1
"Not worth anyone's time

This movie is a disappointment and not worth anyone's time or money. It would have been an opportunity for Funke Akindele or/and the AY guy, to showcase their talent on world stage but they both failed at it. What a disastrous act and flopped comedy. If I could give less than 1 star, I would.",1
"Waste of time

Wasn't really a clear plot, didn't make sence and just having a Nigerian man cussing a Jamaican cuss word is not Jamaica?? Didn't enjoy it and just a stereotype of Jamaica?? Paul Campbell could have played so much better",1
"This movie at best had mediocre acting, and tried to promote forgiveness for a highly abusive husband, rapist, and a pedophile of his adopted daughter. The script was very unrealistic both in speaking and acting, plus it was much longer than needed to be to reach such a lame ending. There is no upside to this movie.",1
Way too slow. What a waste of time.,1
"This movie is so poorly made, so uninteresting, so far fetched that I can't really say it's worth the time.",1
Just Crap,1
"Another waste of time

More Netflix boring crap, I'm glad it's free so i don't pay for these terrible selection.",1
so bad,1
"It's the worst film I've ever seen, the acting is so hammy, just crap, awful and so painful to watch, it's just terrible, it's incredibly dull, I wouldn't watch it again, I loved the music and the clothes but other than that, definitely not again, it's just torture, it was like watching a school play. I've seen much better films than this.",1
Terrible movie.... so sloooooow...... bad acting...and bad dialogue....so the test for Ebola despite an active outbreak is asking the patient if they think they could have it....??? And only putting on PPE once they have a positive result come back two days later... seriously.. no wonder they all got it. Should be a training movie on how not to run a hospital...,1
"I stopped watching when the world health organisation worker gives the soliloquy of ""the beautiful man"" to the infected doctor, who writes such drivel ? Even the actor can be seen cringing at this script. I like that they juxtaposed him in the hotel swimming pool with the absolutely terrible center that was set up for those poor people who were just doing their jobs when they got infected with Ebola.

",1
"Don't waste your time

Did not watch all of this crap. Not even second rate, obviously racially inclined crap from an African nation with no film industry I am aware of, and translated from Afrikaans, does not sound right in English. Even the so-called British colonial uniforms look definitely more Dutch than British and the dialogue is terrible.",1
"Weak dialogue, amateurish battle scenes.

Seeing this movie was torture, an infliction of pain that permeated my bone marrow - and it is so perhaps because I'm a History graduate who could not help but notice the many goofs in the plot, acting and battle choreography gone bad. The colonial officers didn't sound British. The dialogue was plain, so much on the surface. How many holes were dug to sink this movie? And coming from an ace 'Nollywood' director I root for, I'm disappointed.

Why on God's green earth was there a 1960s transistorized shortwave radio beside someone wearing a white uniform with a modern day Anarchist logo on his shoulder...I could go on and on, and I'm appalled by the many things not gotten right here because this subject was my term paper in my third year and I had an A in this course (blowing my trumpets? No!) - all I'm saying is that the director, who was also the writer and other crew members, could do better. This was meant to be a historical fiction that was meant to expose the thievery of the British colonial administrators (and their callous pilfering of the Great and sophisticated Benin Empire) but it didn't do justice.

Lancelot could have done better even with the limitations.

My verdict: this movie needs a remake! A remake!",1
"Dumbest TV Show Ever

I just tire oh... When will they cancel this show?",1
"One of the worst Movies I've ever watched

It starts with the animation of the first studio right at the very beginning. So 1995 and cheap, that I kina felt what the movie will look like. Nearly everything is cheap in that movie. Story Actors Real heli (drone) shots mixed up with 1995 cgi helo shots And the directing is bad There is nearly no continuity invetwern the shots when going from overshoulder to the other side The 180 rule is not available but in a mean confusing way

How can such a production be aired on Netflix?",1
"People Failing to Re-Make ""The Man Who Knew Too Little""

This movie was so poorly made that I only got through the first half hour (or so); after trying twice.

The acting was very poor. The actors, also seemed to not know what language they were supposed to be speaking. Often sentences were only part English.

The opening scene looks like they are playing ""Red Light - Green Light,"" with the criminal.

The events that are used to drive the plot are way too coincidental (and, at times, confusing).

The indoor scenes look they were shot on a cellular telephone, in someone's living room. The lighting was flat; and the set looked heavily staged.

There is no urgency, on the part of the police, who are supposed to be concerned about stopping an assassination. Also, very little about how the police conduct themselves is realistic and/or professional.",1
"GCSE Drama project

So bad, from the actors to the story. I can't believe this film made it to Netflix, either running out of films and looking at Z movies",1
I want my time of life back,1
"The Road to Yesterday is not, probably, the stupidest picture we ever saw, but it is, nevertheless, very, very dull, and well-nigh unintelligible as well.",1
"Finally saw the film, and to understate my aversion for what was on display on my phone's screen for about an hour 35 mins, it yearns for so much ð~. From poor directing, to crap story; questionable acting to illogicality; shallow sceenwriting to bad editing... The film set out to tranverse a potentially-rewarding terrain hitherto unexplored in Nollywood - the story of a lady trying to keep her father's trans company afloat is a welcome one - but it failed woefully in complexifying its conflict and offering didactic lessons to people seeking redemption from their business tribulations ð¤"". Hence, it ended up becoming a vehicle that misses its route, decides to follow the path of other nollywood films and then tries to create the illusive impression of being different from the rest.â~  Genevieve's directing of the film was decent according to Nollywood standards, but the International audience of filmmakers will be sceptical about the director's credentials when thry see the film. But I understand Geny, she's an actor transitioning to directing. When I started watching the film, I saw five people credited as the screenwriters for the film. One of them, CJ Obasi, is a man I respect his radical tendencies in the industry. So, that upped my enthusiasm about seeing the film. Fast-forward one and half hour later, and I'm asking myself, how much research was done in the writing of this filmð§?? I wont be surprised if it's zilch. The dialogues are hardly thought-provoking, lots of unnecessary characters (Phyno's, Peter Okoye etc) who's roles are hardly explored nor add anything to the central case. I'm still pondering how that conversation between Geny's character and Alhaji Maikano and then Maikano/Edochie's character resulted in Maikano's decision to agree a merger with a company defaulting on its loan and agree to clear its 950 million debt. The people that wrote that script crucified sound screenwriting, logic and reality.â? The film made little effort to clear dark corners in the stories, thereby leaving itself with enormous plot holes big enough to damage a LION'S HEART. I could go on and on pinpointing loop holes in the elements about the film, but suffice to say that although the film left me begging for more, I wouldn't stop short of acknowledging the originality given to the characters. Edochie and Osuofia's characters gave me all I needed from a typical traditional Igbo man runnning a transport business. But generally the script failed to explore the characters to provide us with motivations behind their actions... cc: Ikeagwu's resolve to see the company sold. ð¤·ð? 1/4â?â(TM), The local feel was fun: the area boys/agberos in the opening scene made me laugh.",1
The movie is overrated and wasn't what I expected at all,1
"This movie's lineup makes me want to like it desperately, but it's difficult to relish amid the dim screenwriting by Genevieve Nnaji. This enterprise merits decidedly less than anyone wishes to accord it.",1
"No head, no tail, bad script, absolute waste of time and expensive rubbish. Movie was such a pain to watch. I highly do not recommend.",1
"Horrible! Oh my God! I'd managed to view the Part 1 because I'd anticipated something brilliant with the mesh of creatives and acts in the first part. But this? Wait, what was Ebony Life TV thinking about doing such a below subpar movie with disjointed subplots, no storyline, waste of very good actors, and just a downright ridiculous and boring movie? The ratings should even be a negative because I just couldn't believe the utter crap they produced!",1
"If ""unnecessary"" was a movie, this would be it. This unwarranted sequel to a barely manageable movie checks all the boxes on the recipe list of how not to make a movie. Bad dialogue delivered robotically by a star studded cast that clearly did not want to be there -check, convoluted plot - check, terrible script - check. Not worth your time or mine, skip by all means.",1
This was bad in so many ways,1
"With the movie being available on Netflix I expected it had a certain level of quality. However, in my opinion this is not Netflix worthy.

The story is a simple one about a couple and when you think that was just it, there was the plot twist which was just indescribable bad. Also a lot of QA issues like for example getting lost in a car with satellite navigation.",1
Bad movie,1
Horrible storytelling,1
"Dumb movie

This movie is a joke. Every one is angry No introduction of who cast are, all you see is someone very angry",1
"By sure, one on the worst horror movies ever made...

Bad writing bad acting bad edition. bad special effects..

nonsense story",1
I watched this against my will,1
"My first Nollywood movie, a disaster movie at that, was frankly a disaster. It is so very tonally deaf to what is going on. This is meant to be based on a real-life plane crash but we have more time spent on telling women they are rocks around men's necks, music video entrances for plane staff and literally zero character development beyond ""I hate you, I'll sleep with someone else"". Horrific.
Drinking game: Is that woman's hair sponsored?
Bottom line: Absolutely cringe and none of it is to do with the budget.",1
The need to be extraneously goofy and ridiculous in Nollywood cinema is getting annoying,1
Not a movie. A series of nothing strung together with sanctimonious messaging but I have a feeling a lot of the filmmakers are nice people in real life but they shouldn't do this again.,1
"I know it's Nollywood but this film was absolutely ridiculous, it's annoying
",1
"Are your people completely innocent in this 'exploitation'? It takes two people to screw...or get screwed
Sponsored by Oranto Petroleum Ltd., Capital Oil and Gas Industries Ltd., Nigerian National Petroleum Corporation (NNPC), Diamond Bank, and a bunch of construction companies.

And Tiger Mafia would have my ballz as well if it came out that I was watching Nollywood",1
"A Nollywood Horror Film

Impossible to see this as anything other than heinous after learning about the real-world suffering this film and its writer have a direct hand in perpetrating.",1
