Positive Reviews,Ratings,
"Honest review from European Woman with Netflix subscription
I couldn't understand the low rating and the very high reviews some people stated where unrealistic or even paid to write. Since the movie popped up on my Netflix home screen I decided to give it a go and write an honest unpaid review. And this is just my opinion. I am a woman from Europe, an entirely different culture than the African one, but since this is a movie, and I watched it, I am entitled to my opinion! At first I was skeptical and I couldn't figure out what to think of it the first 30 minutes. But the acting was fine, I totally and absolutely loved the chemistry between the strong female lead and her uncle. What a character! This wasn't a heavy, dramatic movie, more a light hearted fast paced flick with a lot of elements that are almost comical. Hallmark like camera and music and I liked the directing and camera. The only thing I wasn't really happy about was that the movie quite suddenly was over. It could have used like ten minutes more of even a bit longer to work things out with the possible love interest. Conclusion: I liked it, I enjoyed myself, it was not a master piece, but a nice watch. Well done.",7,
fun movie,7,
Best of the best,7,
"Very good, if not wholly fulfilling

It's unfortunate that 'The figurine' hasn't gotten a great deal of attention outside of Nigeria, as it's a worthy view - a drama and thriller, with supernatural elements, that keeps us watching from start to finish.

The film follows two friends, just setting out in life, who find an abandoned shrine and a totem inside that local legend says will grant seven years of good fortune. The catch is that legend says seven years of bad luck will follow.

I stumbled onto 'The figurine' while searching for something else, totally unaware of the accolades and high regard this film has garnered in Nigeria and beyond. That I'd never heard of it otherwise speaks to the rank politics of cinema in the US, where any feature produced outside North America or the United Kingdom is blandly pigeonholed as an ""international feature"" and barely gets any press, let alone release. As is often the case, this movie deserves more broad consideration.

This is more of a character study than anything else. There is drama, and suspense, and a mild sense of unease pervades the latter half of the film as tension ramps up. The cast all perform very well in their roles to bring the screenplay to life. Despite the prominence in the narrative of the noted figurine, the real focus is on the tangled webs of the relationships and interactions between characters. And it's very engaging, especially leading into the climax.

There are no specific faults that come to mind, yet personally I just find that 'The figurine' doesn't entirely connect. I can't put my finger on it, but I was somehow expecting something more. It's very enjoyable, but despite the tension and suspense in the story, it ultimately also feels understated at the finale, like something is missing. Maybe that's just me, though; in any case, putting aside that minor misgiving, I've no detractions to make.

Even a cursory glance at material about the making of 'The figurine' illustrates the hard work that went into producing the film, and I'm pleased to say it all paid off. Cinema industries all around the world deserve more attention from viewers, and we should endeavor to expand our purview - and 'The figurine' shows that there's a wealth of good movies to discover in Nollywood.",7,
"In a movie which seems like it should have been a mini-series, we follow a relationship, which grows into a family, over the course of 20 years in Nigeria.",7,
"Not my type of movie but my type of actors

Remember to see the end of the review I got to know about this movie when my very good friend told me about it and the actors and I was like what? How can Chiwetel Ejiofor act in a Nigeria based movie,I know the movie has to do with UK and stuff but it was mainly in Nigeria. I know he's a Nigerian but,well I guess he gets paid to act,let's get back to the movie. The movie's talking about what a tribe in Nigeria did in the past just to gain independence and become a republic and how a man and his wife suffered from it and some other stuff going on in their life. I don't really watch Nigerian movies because I have got lot of hate for the country and his people but I wanted to watch this movie BC Chiwetel Ejiofor was in it. The one thing I didn't get is why the hell would you budget N1.60billion on a Nigeria movie that's rubbish,but you got top actors in it tho but it still ain't worth it. Its a really really nice movie for Nigerians and some others not just my type of movie. Its getting a 5+2 for Chiwetel Ejiofor being in it. Must watch Well if you don't agree with my review or you got any arguments",7,
"Sister Bond

Unlike some of my friends, I had not read the book prior to seeing the movie. In a Facebook discussion, Half of a Yellow Sun got excellent reviews on both the book and the movie, so I decided to check the movie out. I deeply appreciated seeing a movie with an emotional bond between two sisters who were connected in so many ways, but disconnected by romance and political views. Perhaps more intriguing were the circumstances that tore them apart, brought them together again. The movie actors were superb and each character was perfectly cast for their roles. I only wish movies like this would reach more people. It tells a story that is and was real about power, war and political unrest in Africa. I plan on reading the book as well.",7,
"Beautiful production but a weak storyline

The only reason I'm not going to give this a 10 out of 10 star review is because I found the story lacking. Many of the major characters weren't fully explored and were therefore wasted, and some of the plot twists made absolutely no sense. That aside, this series is an exquisite work of art. Everything from the cast to the music was perfect. You couldn't ask for a better actors, or ask for more beautiful locations. The scenery is a marvel to behold. The wardrobe mouth watering. The acting was superb.... Charley Boy is a delight to watch on camera. This was a wonderful effort by Kemi Adetiba and I'm really happy I got a chance to watch this. Looking forward to more and I'm sure the stories will improve.",7,
"A Good One
Hmmm... This was a movie. A GOOD ONE and that's about it. Buh let's break it down a bit.

Plot Kemi is still one of the best story tellers of all time in Nigeria. She has shown that time and again. From her music videos to movies. She knows how to tell and finish a story. She puts you at the edge of your sit in suspence and drops your jaw with a finish. Only this time she dragged on too much. It was unnecessarily longer than the movie should have been. I mean she spent the first episode rightfully introducing the queen and wasted too much time showing pain from the lead.

That was too much in my opinion. 8/10

Acting Man.... I think she focused more on the lead characters than she did for the rest. It's a body of work. I believe d energy should flow around all. The add-ons had bad or unnecessary script lines. The lead guard was too stiff the second in command was better. Needless to say the leads were magnificent. Jaw dropping performance. Second time Toni tones is giving me chills down my spine. Hot damn 8/10

SFX Special effects needed a lot more. I've seen much better in Nigerian movie. It's big budget movie I expected more. 5/10

Direction Kemi wrote and directed that means she brought her imagination to people's minds and they loved it. I applaud her. Buh like I said the acting was focused on some key moments and leads. Some parts lacked emotion and Its unfortunate cause Kemi always has scenes that give goosebumps. The scene in the beginning for instance thats EPIC what a way to begin. The best emotional scene in the movie in my opinion was the reporters argument with his wife in his apartment. Then the graveyard scene in the first episode was Iconic. I think she dwelled too much on it but still, literal goosebumps. 7/10

Script Although better than most Nigerian movies, needed more work. Some lines were better left unsaid. Especially the add-ons like the elders. They needed to be scene not heard. 7/10

Cast Mad choice of team but not totally on point. They came with their A game. Charlie Boy over acted his role though. Making him fake. At a point he was counting his words. He wasn't as natural as the rest. For a supporting role with a very important role to play, he didn't do justice to it. Sank the movie for me. I think Kemi was going with bad and dangerous but sexy something like Jafar in Aladdin or Rasputin Anastasia or Scar in Lion King. Bad buh like-able. Charlie boy was a No no. 7/10

Soundtrack An important part of every movie. This movie lacked a lot of that and audio effects in core areas were missing. 5/10

I like the fact that she never focuses on one Ethnic group. She mixed it all. Love that. Like I said it was a GOOD movie.",7,
"Good for a first.

A Naija Christmas As with almost any new high budget Nigerian movie, it aims for comedic relief and heavily lies in tropes. A fairly straightforward plot that delivers nothing new, save being the first Nigerian Christmas themed movie. Because of the heavy reliance on comedic elements, the plot isn't allowed to develop to have darker moments as such moments were snuffed out (a little letdown.) The casting was sweet. Seeing many familiar faces from YouTube series getting a shot into the spotlight was thrilling! (Segilola ogidan, Ade laoye & Abayomi Alvin.) Mercy Johnson finally gets a new nollywood movie where she can shine appropriately (Seven and a half dates & the ghost and the tout too, she can finally be forgiven for those travesties.)",7,
"Funny Christmas Comedy

This movie had me cracking up from the start. It's about 3 single brothers who are disappointing their mother because they haven't yet gotten married / have no kids. The brothers all have different reasons why they're still bachelors and it's a funny movie. I absolutely love Nigerian culture. 7/10.",7,
"Originally Unoriginal

The story has a lovely premise.

But if you're gonna tell a Nigerian story, at least tell it in a Nigerian way.

I couldn't help but notice the undertones of Western culture (and yes, a lot of Nigerian modern lifestyle is influenced by the West,) but to go so far as even patterning the dialogue after Western culture, that's too far.

The breakups and the relationship dynamics broke my last straw.

I love this movie, but as an ardent observer of Western cinema, it feels like a copy.

Whether it is a Nigerian copy of a Western story, or a Western copy of a Nigerian story, sometimes I just can't tell.",7,
"Funny

Funny and good acting. A different cool vibes.

I like how the main character is put of the ordinary and how the women stand up to the men.",7,
"A good sequel but a remake would have been far better for good story buildup

I must say I commend the director and his acting too ( Ramsey Nouah).. but the story would have been appreciated if started from the beginning (remake of the first movie in 1992) then later this... but I guess the actors like Kanayo, Okonkwo etc May not cut out the first act nor the sequel and they needed to make sure they are featured in the movie anyways.",7,
"Very funny movie

This movie is very funny.I literally laughed from thr begining to the end.",7,
"He said, she said",7,
"Captures the quintessence of the horrid issue

More than 11% of all level students experience rape or sexual assault! Only 20% of female students report such incident to authorities. Even though 2/3rd of college students experience sexual harassment in campus, 89% of colleges report no such incident on campuses. (Source: American Association of University Women) And the data in a country like Nigeria is quite appalling! ""The majority (69.8%) of the respondents had been sexually harassed, with the main perpetrators being male classmates and lecturers. And requests to do something sexual in exchange for academic favors is 32.2%."" (Source: National Library of Medicine) The story contextualizes this horrid issue. It is based on the true events. Good cinematography esp few sceneries from Cape Verde and Senegal... .However, shorter runtime could have made this movie crispier. Also, the script writing lacks subtleness with somewhat middle-of-the-road dialogues. But it is still a MUST watch movie as it still captures the quintessence of the issue and delivers a clear message.",7,
"OK but WAY TOO LONG

I quite agree with what many others have said here about this movie. It tells an important story (based on a true one evidently) but the movie is WAY TOO LONG at two and a half hours and the ""acting"" is not really convincing at all. The acting in particular from the Gloria character was just dreadful. Every scene she played involved eye-rolling that was way over the top and quite unnecessary. I live in Thailand where Thai TV programs and movies are also way over acted which led me to believe that ""Gloria"" had probably done her acting training in Thailand rather than in West Africa.

This story really could have been very adequately told in 90 minutes. The extra hour just made it somewhat annoying. All the same, it was a decent movie and I rate it 7.0
",7,
"Fresh POV
It is not the kind of cinema we are used to in the western hemisphere, but the production highlights not only a story to develop, but also the colors and culture of the region in which it takes place.

A script with more potential to be exploited, but with good camerawork and direction. We can consider the good performances, which cover any non-obvious lack of the film.",7,
A BRILLIANT MOVIE WITH A FEW PECKS,7,
"
Audiences will be pleasantly entertained with Nigerian director Kemi Adetiba's The Wedding Party, a charming, romantic comedy with a unique international flavor.",7,
"Overall, it's a fascinating slice of modern history that may be unfamiliar to some, which can also give us an insight into the making of contemporary Nigeria.",7,
"
A well-acted, finely wrought epic that nevertheless struggles to balance the requirements of melodrama with its drive to capture a historical moment.",7,
"These people deserve a whole fucking lot of credit for this movie. The writing is eh. Performances are eh. But so, so hard, and they did it. You have to appreciate that. Also, this is not the Nigerian movie. This is a one-shot rom-com about twenty-something white people.

",7,
"Nice movie

Great story line. Sex offenders, sex addition Depict( the roots of addiction, what could have caused it and the life time effects it has on people and lives. Very touching. The acting could have been a lot better, but its an african movie and over dramatization can be expected. Rather long and could have be done in 1.30 hours. Nonetheless, its was worth watching. I certainly would recommend watching it.",7,
"Cute...

It bothered me a lot of Izu's behavior, I could imagine the seriousness of his wife's actions for such ignorance, but yes, the reason was strong, as if there was a justification for rudeness and violence (even if the violence does not actually come to light, and stay in the verbal scope), the film has a gospel, talks about forgiveness and our actions, I really liked this simple Nigerian... And the plot twist, it was painful to say the least... Cute...",7,
"Wow

This movie really made me change my relationship for the best. Great movie. The movie did start off slow but it definitely kept me interested. The flash backs really made the ending even more intense because everything came together. Pay attention to The little things in the movie because it makes sense at the end and if you missed them, you won't get the full effect.",7,
"
A great children movie

I think the Mirror Boy is a great children movie, simple in spirit, yet powerful, effective and well performed. It may seem almost nothing takes place in the adventure, but the spiritual concepts developed throughout are interesting and deep. It's truly a journey of initiation into the culture of the ancestors.

The soundtrack is awesome, varied and rich, quite appealing and also bridging tradition and contemporary concepts! For me the best performance is from Osita Iheme as the Mirror Boy.

This was my introduction to Nollywood cinema and I loved it. Will be looking for more Nigerian movies.",7,
"Scattershot but still packing some impacts

Being the directing and/or screenwriting debut of a well-known actor always loads a movie with a lot of baggage and expectations, for every critical darling like ""Good Will Hunting"" and ""Gone Baby Gone"" you get a forgettable ""In the Land of Blood and Honey"" or ""Déficit"". The baggage only gets heavier when it also happens to be openly based on the actor's own life story. The last such case of this double-duty debut I can think of lead to the multi-award winning and nominated ""Lady Bird"" by Greta Gerwig, so... no pressure.

""Farming"" is British actor Adewale Akinnuoye-Agbaje's telling of his own life story having been ""farmed out"" as a baby in the late 1960s to a couple in Tilbury. This was a common practice with African, mostly Nigerian, couples in the UK, where they would hire white, British foster parents to care for their children in the hope that it would lead to better lives for them. Many of these white families were working-class, not indifferent to the pay involved in fostering and unprepared for the unique challenges that the race relations of the practice could lead to. Adewale's film avatar Enitan is also farmed out, taken back for a few years by his biological parents to their native Nigeria, has constant identity crises after his return to England and these result in him joining a white supremacist skinhead gang.

As a testament to its staying cultural impact, Dave Chappelle's ""Black Klansman"" character is probably the first thing that comes to mind when picturing a black person joining a white supremacist group, but the situation is not even remotely played for laughs here. For the most part, ""Farming"" is brutal, Enitan's crisis and isolation, strong enough to make him want to join any group that'll take him even if it's just to hate on him, is greatly portrayed in all its troubling phases by Damson Idris (the actor playing him as a child, along with the rest of the child performers are unfortunately a lot less successful). Damson is not alone in carrying the movie, his strongest peer being an electrifying John Dagleish, playing the skinhead gang's leader with such power that one could understand Eni's wish to follow him, even through the obvious hate. Keeping the film from becoming monotonously bleak is an incredibly stylish production design (even if some locations are clearly too modern for their time setting) and the occasional gorgeous, almost classic, grainy stock, high-contrast photography coupled with a great selection of songs related to the Black British experience.

Among the rest of the cast, Kate Beckinsale is to be noted as she's never before been seen playing a character like this toxic-yet-watchable mother, and she does it well, it's just a shame that the character itself is almost a stock one in modern drama thanks to ""Tonya"", ""The Fighter"" and the already-mentioned ""Lady Bird"". AAA playing the avatar of his own father is interesting too, for the role this might have in his own process of dealing with the events depicted.

For all its audiovisual strengths the movie unfortunately falls short on the story department specially near the end. In an attempt to make the previous brutality end in less of a downer note, the final minutes try to wrap everything up a tad too nicely. This along with some unsure pacing decisions denote the nature of this movie as an opera prima, fortunately not to the extent of detracting from the end result though. Finally, considering the U.S.'s role as the leading cultural force in the world, where most of the art related to the race relations of black people originates from, it is refreshing to see a different aspect of these as they happen in other countries, specially when they're told so vividly by creatives who've lived through and been inspired by them.",7,
"A story that needed to be told

A story that needed to be told - moving! A good interpretaion of a troubled UK - in troubled times - Good performance by Beckinsale - stole the show",7,
"This was one hell of a ride

I was not aware of the ""farming"" practice... But i'm ""happy"" - kind of - to have discovered it with this movie. The only fact that it is based on the writer's life made it so strong and so, deep! I recommend this movie to anyone interested into this topic - or anyone who enjoy great movies! There is some images that really hit at the right place... Damson Idris is really something... His role must have been hard to do but he nailed it like... NAILED IT!... And what to say about Kate Beckinsale, simply stunning!!! Seriously, are you still reading ?.... Go watch this movie, and hit like NOW!",7,
"Farming may not be the best-executed story, but with a captivating performance by Damson Idris, nevertheless, it is still a story worth telling.",7,
"The tone of the film is also unexpectedly lyrical -- like a fairytale, albeit grimmer than Grimm. Unrelieved horror and violence can be enervating, but this film has the benefit of truth, and a message of survival.",7,
"..contains memorable scenes and definitely, er, packs a punch, but it is marred by gauche directorial touches…",7,
"Oct 24, 2019
[A] provocative if slightly plodding movie…",7,
"Told with raw emotion and lurid violence, it transforms elements of his life story into a disturbing, eye-opening coming of age drama.",7,
"Interesting

Interesting how open the characters are to speaking about their relationships and with restraining anger during such emotional circumstances. The idea that some things are what you like and some things just are, is an interesting cultural value. The idea that you are wedded to your past and the denial of self renewal and expansion leads on to the truth somehow. The subtitles were delayed a few seconds making some parts hard to follow and reducing the overall quality of the film. The microphones were also poorly operated. The cinematography was very poor for a film shot in 2007. This may have been the copy of the video I received, but it seems that even a point and shoot camera gets better video.",7,
"Love it

The movie is great.

Sure the fights could be done better but I see this like a work in progress.

The storyline is good, Acting not bad at all, i have seen some Hollywood's production with horrible acting(example Divergente).

The casting, directing was ok .

This movie is a solid 6.",7,
"Something new

Despite seeing its low rating - I think, Namaste Wahala definitely deserves a 1 time watch for being something new and different. It's not the best produced by Netflix but still worthy to watch.",7,
"Indian-Afrika story, new and refressing, unfornutally bad story and acting.

Bollywood has always been obsessed with white people. There was even a time that with every bollywood song you see white european people dancing on the background. So, Namaste Wahala (not bollywood) is as far as i know the first romance movie between africa and indian. the romance story is very weak and bad Acting. I think the director is new and we need to give her the chance and time to grow. I am sure in the future she will make better movies. i think they should make more indian-africa movies! I have Indian roots and my best friend/sister has African roots.",7,
"Cozy Val's day flick

Impressive & funny how they portrayed both cultures. I was entertained all through! Clean cut production.",7,
"Nice cross-country movie

The only thing that I don't like about this movie is the way there was little or no interaction with the Nigerian or Indian environment.

Beautiful romantic movie.",7,
"Same movie as Black Gold.

Why does this movie have two different names and two different ""looks""? It's a good movie and everyone need to know what's really going on, what our government is allowing to go on around the world. People around the world either love Americas or totally hate us. Stuff like this is why. Arrogant corporations exploiting second and third world countries. Getting tax credits to it. The acting was okay. I overlooked it because the story was so good. The music for the credits was not appropriate. This is a serious subject, why play an upbeat song? I'm one of those people that actually sticks around for the credits. The music was distracting.",7,
Arie and Chuko Esiri’s film is understated in its attunement to the challenges of trying to escape a stagnant existence,7,
"Soapy entertainment

I've never before seen a Nollywood film, so I was intrigued as to what director Biyi Bandele's 'Fifty' would be like. As it turns out, it was pretty much an African version of 'Dynasty'!

The film is about four affluent Lagos women who are 'of a certain age'. There's Elizabeth, a celebrity obstetrician whose taste in young men has led her daughter to disown her; Kate, a party planner becoming increasingly influenced by religion; Maria, a high-flying construction executive who discovers she is pregnant; and Tola, a reality television star with a dark family secret. Their story lines join, separate and join again before resolving themselves in best TV movie fashion.

It's not challenging at all, but certainly diverting and entertaining. Although all four lead actresses get their turns to emote, only Nse Ikpe-Etim, as Kate, has a consistently challenging role as the reason for her character's turn to religion is revealed. Bandele makes full use of Lagos' skyline with sweeping establishing shots over the city, although by the end of the film you may feel you've seen quite enough of the Lekki-Ikoyi Link Bridge, as attractive a piece of engineering as it is.",7,
"Not your everyday dilemma, but as depicted in this lushly detailed and passionately performed melodrama, the mores and traditions of this sequestered, seldom depicted group take on a broader relevance. ",7,
The result is a work in which style and story unite to create a singularly mesmerizing look at a culture within a culture.,7,
"Was glued!!!!

I enjoyed it. It was brilliant coming from the stables of Hollywood movies. Not a wasted time spent",7,
One salutary feature of this sharply observed film is that it does not feel compelled to make Seyi in any way magical: he cannot transcend the sump of addiction and corruption in which he allows himself to sink.,7,
"Little Gem

While waiting in a bar for a boat to cross a river, a man tells the story of Javé, a small town in the country of Bahia doomed to be submerged by the waters of a hydroelectric dam. When the illiterate dwellers of Javé find that their village will be flooded, they decide to ""scientifically"" document the story of Javé to show the historical importance of the place and present motives to stop the construction of the hydroelectric. However, only the former postman and persona non-grata Antônio Biá (José Dumont), who used the intimacy of the villagers to save his job in the post office, can write, but the population assigns him to register in a book the report of the remembrances of the storytellers.

""Narradores de Javé"" is a funny and dramatic simple story supported by a good and original screenplay, great direction and excellent performances of the cast formed by actors, actresses and amateurish simple persons. This low-budget movie presents a great political final speech of Antonio Biá, in one of the best moments of this little gem, when he shows the lack of importance of them to the powerful.",7,
" 7/10
beauty in simplicity
Emerenciano13 November 2006
Once more we can find art in the simplest of ordinary things. As days go by I am more convinced that we don't really need to look for vary elaborated films (nothing against them, of course) to see beauty and value. European and Brazilian cinema are live evidences of this thought. There many films which may be cited as great examples (many of them I have written about here in IMDb) of this.

""Narradores de Javé"", a generally hidden treasure even here in Brazil, is a very good Brazilian film with a simple, but good story. In a small village called Javé, the inhabitants are told to leave their home once the government plans to built a hydroelectric dam in the place. In despair, the population decides to write a document where all the values and traditions of the place would be together and thus stop the construction of the dam. The problem is, nobody in the village is able to write such paper. The solution is to invite Antônio Biá, a former inhabitant of the city, to do the job. Antônio then starts interviewing the people in the city and hears all the stories they have to tell. He has to decide what is true, legend or just a lie. The interviews happen among discussions, arguments and even physical fights. Many funny situations arise, specially for Brazilian who can enjoy the local accent and jokes. International audience, can have a very good time too, once the acting is superb and the scenery is beautiful.",7,
"A story told like no other
Sharon Ooja (Oloture) brings her expert acting skills into this one, alongside supporting actress Omowunmi Dada (Linda) who also did a great job. Even though it's not based on true life story, the movie centers around things that happen in our world and gets almost unspoken of daily. Here, the director Kenneth Gyang doesn't care about personal feelings, but goes straight to give us a raw and unblemished look into this brutal ordeal on human trafficking, while still leaving room for lots of emotions. Pure art and a good premise, as most movies should be. The summary is these things happen and even if it sucks, that's how life is, this film shows us just that! My ratings may seem harsh, because I found some terrible plot holes, which would be spoiling it if I discussed them, but I think by international standards, the rating is fine. It's a quality movie, watch it with an open mind.",7,
"Good but Kinda Cheesy

I liked this murder mystery from Nigeria. 

The film cinematography almost felt like a filmed play at times.....but that is just my observation.

The plot was thick and readable part way in but far enough in to keep my interest.

I really liked the setting, the clothing, and the characterizations. The best obviously, is the old inspector. 

This gave me a feel for what I hear is an up and coming Nigerian film scene.

The mixture of culture and language was very interesting. Some English, mostly subtitles. Some British influence, mostly Nigerian.

Cheesier parts like the murder scenes and investigation of murder scenes at really real locations sparked my interest.....I guess. On the whole, the nature of these just added to my interest in the film.",7,
"A good Nigerian movie

The war in Nigeria is a very regrettable conflict and this film shows us the dark side of the country; it's a good action drama movie.",7,
"Juju stories is a three short stories in a 1 hr 20 mins movie. The first story 'Love Portion' is where the juice is, the second story is 'Yam' is a woeful failure and 'Suffer The Witch' is eerily good. It is a win, 2 out of 3 were good. ",7,
"It's good if you enjoy the subject

If this is a subject you like then it's a decent movie.

But it is extremely subdued and slow. The movie makes it worse and often is as loud as the speaking.",7,
"I'd say: worth watching!

Well made, well played, good actors, even though it might seem a bit slow at times (and over 2 hrs altogether), I still think it is worth watching anytime. Of course, it is not the brightest and happiest movie to watch during these corona and pandemic times...

but I liked it.",7,
"Realistic but slow pacing and very melodramatic.

Good acting, based on true events and a decent story. The pacing was a little too slow for my liking and some scenes feel like a made-for-tv movie (the cheese music and the over dramatization).

Overall watchable if you know what you are getting into ahead of time.",7,
"Interesting but...

It was too much melodramatic, but I enjoyed it. On the other hand this is a great tribute to all the medical staff who where at the epicenter of the crisis.",7,
"In an age of COVID-19, there is still worse. Fascinating Movie.",7,
"Weird

This one was not really worth watching. I thought I would give it a chance. It is weird but, It did keep my attention. I wont say worth the watch, but if you want to give it a chance, go for it.",7,
"not bad

A plane crash made around the fate and lives of different people. I would say it's not bad at all.",7,
"Profound writing

This series is the opposite of generic, it's culturally relevant and insightful, a few technical hishaps, but good story. It also intorduces us to very beautiful locations.",7,
"Slow Paced, But Enjoyable to Watch",7,
"This was pretty good

I enjoyed this film. What a unique plot line. I don't think I've ever come across such a plot in a book or a movie. It was interesting and the characters were quite likeable and charismatic. I was engulfed in the story from the beginning to the end.",7,
"it's thrilling, kept me glued.

I loved it. Very different from the normal Naija movies you watch. I loved the strory line, the acting; especially Miss Balogun's, the pace and the quality. I would give it a 7/10 for originality.",7,
"Funny.

The culture is on point, and I get a lot of laughs. It's great to see black women as the main - so refreshing - although what would be more refreshing and powerful is to see black women rock their natural hair. The wigs are dialing the black girl magic a little down.

But the production is great, and I enjoy the dynamics of the characters.",7,
"Insight into Nigerian life

This movie might be hard to watch if you have no affinity with West Africa. It gives a good insight into the Nigerian way of things. I would surely recommend it to anyone to watch. Watch it, learn from it.",7,
"A captivating and funny critique of Nigeria...

This is a really vibrant, dream-like film with a completely original soundtrack. I have never visited Nigeria or watched any other movies made in Nigeria and I really enjoyed getting a glimpse of life in Lagos. It was a little hard to understand the characters at first, so I put on the subtitles and that helped... A lot.

The story follows the main character named Raymond as he transforms into a costumed spirit, or masquerade, named Okoroshi. Okoroshi gives good fortune and wealth to the good and punishes the wicked. Watching a giant, purple, shaggy-looking spirit dance and interact with the different characters was great.

Some scenes dragged a little but overall I really enjoyed this filmmaker's critique of modern Nigeria (and other parts of the world). He definitely has something to say.",7,
A coming of age dramedy that loses its way in the mean streets of modern Africa.,7,
"Nigerian Prince pulls you in, charms you, and tells you a complex and powerful story without losing itself. The film draws no clear moral conclusions, no clear solution as to what, or who, is right or wrong.",7,
"Audiences will be pleasantly entertained with Nigerian director Kemi Adetiba's The Wedding Party, a charming, romantic comedy with a unique international flavor.",7,
"Slowly blossoming into something beautiful

This film is about two childhood friends who fight against the odds to be together.

""Rag Tag"" is a low budget film, so the visuals and sets are not as impressive as the blockbusters. Hence, it needs a good plot to captivate viewers. ""Rag Tag"" tells a touching story of undying love between two childhood friends. Even though they face societal pressure, criminal temptation, jealousy and non-acceptance, their love still manages to blossom into something beautiful. It is a beautiful story. The only problem I have with it is that it is a little too slow paced. If it was a little faster paced, it would have been an even more captivating film.",7,
"A Noble Directorial Debut

I discovered this on Tubi and I enjoyed it. It has its flaws but it doesn't take away from how great the film is

When Rag and Tag are separated at 12 and reconnect 10 years later, it seems as if there is no room for Rag in Tag's life though he knows what it means for him

I like how it portrayed the life of black people in the UK and a black gay man wrestling with what the world expects of him. We see two different men that complement and can't do without each other. Some of the visuals betray its low budget and quick edits do make us say:What? How'd they get here? One scene is anti climatic but still decent all things considered

The end is well done and crafted. The performances shine quite well, there was only one part in the beginning where I thought the boy should've been coached a little more in line delivery but that's really good considering I've seen other child actors grate on me

It's a great movie",7,
Art Immitating Life...or is it?,7,
